Neighborhood,prices,year,month,total crime,violent crime,drug crime,housing crime,price classified
Beacon Hill,966456.0,2018,9,76,10,0,2,high
Beacon Hill,1054280.0,2018,9,76,10,0,2,high
Beacon Hill,965970.0,2018,10,79,4,0,4,high
Beacon Hill,1055815.0,2018,10,79,4,0,4,high
Beacon Hill,969191.0,2018,11,75,5,3,4,high
Beacon Hill,1058992.0,2018,11,75,5,3,4,high
Beacon Hill,971136.0,2018,12,54,8,1,5,high
Beacon Hill,1061825.0,2018,12,54,8,1,5,high
Beacon Hill,974726.0,2019,9,4,0,0,0,high
Beacon Hill,1041966.0,2019,9,4,0,0,0,high
Beacon Hill,974179.0,2019,10,57,2,1,5,high
Beacon Hill,1039011.0,2019,10,57,2,1,5,high
Beacon Hill,971783.0,2019,11,42,5,1,1,high
Beacon Hill,1035883.0,2019,11,42,5,1,1,high
Beacon Hill,972589.0,2019,12,49,3,0,4,high
Beacon Hill,1034158.0,2019,12,49,3,0,4,high
Beacon Hill,973878.0,2020,1,34,0,1,2,high
Beacon Hill,1033316.0,2020,1,34,0,1,2,high
Beacon Hill,979482.0,2020,2,43,4,0,0,high
Beacon Hill,1035877.0,2020,2,43,4,0,0,high
Beacon Hill,982883.0,2020,3,44,4,0,2,high
Beacon Hill,1035856.0,2020,3,44,4,0,2,high
Beacon Hill,982870.0,2020,4,20,7,0,2,high
Beacon Hill,1033018.0,2020,4,20,7,0,2,high
Beacon Hill,979422.0,2020,5,32,4,2,1,high
Beacon Hill,1030851.0,2020,5,32,4,2,1,high
Beacon Hill,973423.0,2020,6,39,2,1,5,high
Beacon Hill,1026942.0,2020,6,39,2,1,5,high
Beacon Hill,970560.0,2020,7,54,3,0,7,high
Beacon Hill,1024459.0,2020,7,54,3,0,7,high
Beacon Hill,971687.0,2020,8,66,3,0,1,high
Beacon Hill,1023106.0,2020,8,66,3,0,1,high
Beacon Hill,977736.0,2020,9,54,4,0,1,high
Beacon Hill,1026817.0,2020,9,54,4,0,1,high
Beacon Hill,983986.0,2020,10,47,5,0,1,high
Beacon Hill,1032771.0,2020,10,47,5,0,1,high
Beacon Hill,985851.0,2020,11,36,2,1,1,high
Beacon Hill,1034810.0,2020,11,36,2,1,1,high
Beacon Hill,984665.0,2020,12,42,2,0,6,high
Beacon Hill,1032634.0,2020,12,42,2,0,6,high
Beacon Hill,982707.0,2021,1,36,3,0,2,high
